Date,UPI_Volume_Lakhs,UPI_Value_Cr,IMPS_Volume_Lakhs,IMPS_Value_Cr,Cards_Volume_Lakhs,Cards_Value_Cr,ATM_Volume_Lakhs,ATM_Value_Cr,Average_Ticket_Size
2016-04-01,7.425373336897882,78.91482356994005,500.0,100000.0,5000.0,150000.0,8000.0,300000.0,1062.772469335643
2016-05-01,11.066139662773136,118.76488346641986,522.75,102000.0,5024.999999999999,151200.0,7992.0,300299.99999999994,1073.2277658301105
2016-06-01,16.654778404974813,177.25393007138263,542.7253207524333,104040.0,5050.124999999999,152409.6,7984.0,300600.0,1064.282728723887
2016-07-01,24.939979738666338,265.3205655479091,557.1342000000001,106120.80000000002,5075.375624999998,153628.8768,7976.0,300899.99999999994,1063.8363315771367
2016-08-01,36.834151378333985,395.5312544734765,564.6514237108316,108243.216,5100.752503124998,154857.9078144,7968.0,301200.0,1073.8166610949256
2016-09-01,55.15212557055291,596.1332103872334,565.8414116399999,110408.08032000001,5126.256265640622,156096.77107691523,7960.0,301499.99999999994,1080.8889126578354
2016-10-01,95.2512812239141,1031.7149463727528,563.0812096320001,112616.2419264,5151.8875469688255,157345.54524553052,7952.0,301800.0,1083.1507283848766
2016-11-01,142.91238495069186,1560.7830980782264,559.984262979024,114868.56676492801,5177.646984703669,158604.3096074948,7944.0,302099.99999999994,1092.1258494263695
2016-12-01,205.23209024113024,2248.489746774495,560.4625207878751,117165.93810022657,5203.535219627187,159873.14408435475,7936.0,302400.0,1095.583904121773
2017-01-01,207.7794880739276,2280.462206500808,567.6689700955977,119509.25686223111,5229.552895725321,161152.12923702956,7928.0,302699.99999999994,1097.539621278412
2017-02-01,232.21535103195035,2566.286903298912,583.1052066277053,121899.44199947573,5255.700660203948,162441.3462709258,7920.0,303000.0,1105.1323230331222
2017-03-01,271.86837108440386,2996.4732301159715,606.1449753423931,124337.43083946525,5281.979163504967,163740.8770410932,7912.0,303299.99999999994,1102.177946689389
2017-04-01,294.9129068543552,3209.7210470957434,634.1208972812727,126824.17945625455,5308.389059322491,165050.80405742195,7904.0,303600.0,1088.3623512215038
2017-05-01,327.96229059623323,3613.8013995446267,662.9733981075707,129360.66304537965,5334.931004619103,166371.21048988134,7896.0,303899.99999999994,1101.8954017471826
2017-06-01,360.5333279958,4088.6170865093136,688.306934745599,131947.87630628725,5361.605659642198,167702.1801738004,7888.0,304200.0,1134.04691578387
2017-07-01,400.8067140074686,4677.275915211059,706.5808776201682,134586.833832413,5388.413687940409,169043.7976151908,7880.0,304499.99999999994,1166.965460345034
2017-08-01,451.273430085957,5230.552737120602,716.1145349093213,137278.57050906125,5415.3557563801105,170396.14799611233,7872.0,304800.0,1159.0650785986456
2017-09-01,497.67351468210296,5906.047450547616,717.6237273361177,140024.14191924248,5442.432535162009,171759.31718008124,7864.0,305100.0,1186.7313160758013
2017-10-01,635.1207616267851,7550.328625888246,714.1231237881367,142824.62475762735,5469.644697837819,173133.39171752188,7856.0,305400.0,1188.8020486921246
2017-11-01,707.7699746794833,8451.172718161122,710.195446607302,145681.1172527799,5496.992921327007,174518.45885126202,7848.0,305700.0,1194.0564054003946
2017-12-01,762.016276302416,8977.569078306484,710.8019931490627,148594.7395978355,5524.477885933642,175914.60652207214,7840.0,306000.0,1178.133506789246
2018-01-01,774.175900259575,9206.02537710875,719.9415133515129,151566.6343897922,5552.10027536331,177321.92337424873,7832.0,306300.0,1189.1387182192113
2018-02-01,862.4356023511615,10373.395960623488,739.5183936722848,154597.96707758805,5579.860776740125,178740.4987612427,7824.0,306600.0,1202.8023811103878
2018-03-01,1009.9657563715235,12249.359546942573,768.7383912933066,157689.9264191398,5607.760080623826,180170.42275133266,7816.0,306900.0,1212.8489970739713
2018-04-01,1094.9902109559914,13107.063343110618,804.218624737613,160843.72494752263,5635.798881026944,181611.78613334332,7808.0,307200.0,1197.002787053902
2018-05-01,1229.457052483233,14891.839335904122,840.8105721631746,164060.59944647306,5663.977875432078,183064.68042241008,7800.0,307500.0,1211.253317537679
2018-06-01,1373.366758634281,16843.636475699997,872.9396221316035,167341.81143540252,5692.297764809239,184529.19786578935,7792.0,307800.0,1226.4485338533923
2018-07-01,1550.4603741270694,18963.47287474405,896.1154002365806,170688.64766411058,5720.759253633284,186005.43144871568,7784.0,308100.0,1223.0865871319509
2018-08-01,1742.8232295238718,21463.135344496088,908.2063828657205,174102.4206173928,5749.363049901449,187493.4749003054,7776.0,308400.0,1231.515335629287
2018-09-01,1954.9875354735339,23831.063890503923,910.1204037774207,177584.46902974066,5778.1098651509565,188993.42269950785,7768.0,308700.0,1218.9880220761409
2018-10-01,2492.9737106410767,30586.10542600344,905.6807920516776,181136.15841033548,5807.000414476711,190505.3700811039,7760.0,309000.0,1226.8924174951737
2018-11-01,2793.766551456447,34310.11695923316,900.6995476953933,184758.88157854218,5836.0354165490935,192029.41304175273,7752.0,309300.0,1228.0953446645926
2018-12-01,2965.92185040953,36978.05585669477,901.4687953700014,188454.05921011302,5865.215593631839,193565.64834608676,7744.0,309600.0,1246.764335735579
2019-01-01,2953.0725866916964,35730.20885654952,913.0599168729976,192223.1403943153,5894.541671599996,195114.17353285546,7736.0,309900.0,1209.9333087026414
2019-02-01,3224.3733130493,39218.267680677825,937.8881347029496,196067.6032022016,5924.0143799579955,196675.0869211183,7728.0,310200.0,1216.3066702592505
